,zip,city,state,latitude,longitude,countyname,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
2299,77056,Houston,TX,29.747328000000003,-95.46931,Harris County,867900,878200,886800,892500,896300,896300,896600,899900,900200,897100,897000,901000
2300,63109,Saint Louis,MO,38.586052,-90.2941,Saint Louis City,172800,175400,177700,178500,178900,180000,181200,182300,183500,184600,185200,185400
2301,47802,Terre Haute,IN,39.393237,-87.3977,Vigo County,98800,99800,100800,101600,102500,102700,102800,102900,104300,107600,111400,113000
2302,85023,Phoenix,AZ,33.638271,-112.09341,Maricopa County,240800,241900,242300,243300,244100,244900,245900,247400,249300,251600,253000,253800
2303,28677,Statesville,NC,35.765719,-80.8981,Iredell County,122200,123200,124300,125400,126700,128000,129100,130100,131400,132500,132700,132400
2304,78729,Austin,TX,30.451348,-97.76588000000001,Travis County,296100,298600,300800,302900,304100,303600,302100,300900,300900,302400,303000,302600
2305,92591,Temecula,CA,33.52775,-117.12056000000001,Riverside County,448200,450100,450800,451200,453400,456600,458900,460900,461300,459400,457600,458200
2306,46123,Avon,IN,39.764435999999996,-86.39699,Hendricks County,195400,196500,197600,199000,201100,203100,204200,204600,205500,208000,210800,212300
2307,62234,Collinsville,IL,38.679282,-89.99407,Madison County,119100,120100,120600,121200,122000,122200,121800,121300,121800,122900,123700,124300
2308,35244,Hoover,AL,33.356981,-86.81577,Jefferson County,279900,282400,284400,285100,285200,285000,285300,286800,289200,291700,292800,293300
2309,31904,Columbus,GA,32.513391,-84.97753,Muscogee County,101300,101900,103700,105200,105900,106400,107500,108400,109500,111200,112700,113700
2310,16601,Altoona,PA,40.526319,-78.40082,Blair County,94500,95300,96200,96700,97000,96800,96700,97000,97700,98100,98500,98600
2311,59601,Helena,MT,46.588803000000006,-112.04193000000001,Lewis and Clark County,225100,225600,225800,226300,227300,228100,228900,230000,232200,235700,239800,242400
2312,94534,Fairfield,CA,38.245844,-122.10191699999999,Solano County,509900,516500,521300,524000,527600,532100,535900,537800,536800,535600,536300,538400
2313,30238,Jonesboro,GA,33.49348,-84.37871,Clayton County,96400,99000,101100,103000,104700,106500,108200,109800,112200,115700,118500,119700
